journee,game_id,club_id,number,name,field_pos
22,515696,25,8,A. Tchouaméni,left:calc( 36.172826086957% - 4px);top:72.011304347826%;z-index:26;
22,515696,25,37,S. Diop,left:calc( 12.5% - 4px);top:61.228695652174%;z-index:37;
22,515696,25,11,Jean Lucas,left:calc( 62.294565217391% - 4px);top:72.011304347826%;z-index:26;
22,515692,14,24,G. Laborde,left:calc( 77.804347826087% - 4px);top:53.465217391304%;z-index:45;
22,515692,14,7,M. Terrier,left:calc( 22.295652173913% - 4px);top:53.465217391304%;z-index:45;
22,515692,14,11,J. Doku,left:calc( 87.6% - 4px);top:66.404347826087%;z-index:32;
22,515696,25,36,E. Matazo,left:calc( 50.05% - 4px);top:61.228695652174%;z-index:37;
22,515696,25,10,W. Ben Yedder,left:calc( 50.05% - 4px);top:51.308695652174%;z-index:47;
22,515696,25,7,G. Martins,left:calc( 87.6% - 4px);top:61.228695652174%;z-index:37;
22,515697,15,1,A. Lafont,left:calc( 49.95% - 4px);top:1%;z-index:97;
22,515695,20,30,M. Caillard,left:calc( 49.95% - 4px);top:1%;z-index:97;
22,515697,15,4,N. Pallois,left:calc( 73.685869565217% - 4px);top:11.385806451613%;z-index:87;
22,515697,15,2,D. Fabio,left:calc( 12.3% - 4px);top:14.305483870968%;z-index:84;
22,515697,15,12,D. Appiah,left:calc( 26.214130434783% - 4px);top:11.385806451613%;z-index:87;
22,515697,15,3,A. Girotto,left:calc( 49.95% - 4px);top:11.385806451613%;z-index:87;
22,515697,15,18,S. Moutoussamy,left:calc( 62.227173913043% - 4px);top:22.647419354839%;z-index:76;
22,515697,15,29,Q. Merlin,left:calc( 87.6% - 4px);top:14.305483870968%;z-index:84;
22,515697,15,10,L. Blas,left:calc( 12.3% - 4px);top:30.155161290323%;z-index:68;
22,515695,20,27,J. Kana-Biyik,left:calc( 49.95% - 4px);top:11.385806451613%;z-index:87;
22,515695,20,17,T. Delaine,left:calc( 12.3% - 4px);top:14.305483870968%;z-index:84;
22,515695,20,14,V. Pajot,left:calc( 36.035869565217% - 4px);top:22.647419354839%;z-index:76;
22,515695,20,32,I. Amadou,left:calc( 26.214130434783% - 4px);top:11.385806451613%;z-index:87;
22,515695,20,10,F. Boulaya,left:calc( 87.6% - 4px);top:30.155161290323%;z-index:68;
22,515695,20,8,B. Traoré,left:calc( 62.227173913043% - 4px);top:22.647419354839%;z-index:76;
22,515695,20,33,A. Mbengue,left:calc( 73.685869565217% - 4px);top:11.385806451613%;z-index:87;
22,515695,20,11,O. Nguette,left:calc( 12.3% - 4px);top:30.155161290323%;z-index:68;
22,515695,20,7,I. Niane,left:calc( 49.95% - 4px);top:39.748387096774%;z-index:59;
22,515695,20,26,P. Yade,left:calc( 87.6% - 4px);top:14.305483870968%;z-index:84;
22,515695,46,40,W. Benitez,left:calc( 50.05% - 4px);top:91.851304347826%;z-index:7;
22,515695,46,4,Dante,left:calc( 36.172826086957% - 4px);top:80.637391304348%;z-index:18;
22,515695,46,12,J. Amavi,left:calc( 12.5% - 4px);top:80.637391304348%;z-index:18;
22,515695,46,23,J. Lotomba,left:calc( 87.6% - 4px);top:80.637391304348%;z-index:18;
22,515695,46,25,J. Todibo,left:calc( 62.294565217391% - 4px);top:80.637391304348%;z-index:18;
22,515695,46,8,P. Rosario,left:calc( 62.294565217391% - 4px);top:68.992173913043%;z-index:30;
22,515695,46,19,K. Thuram,left:calc( 36.172826086957% - 4px);top:68.992173913043%;z-index:30;
22,515690,18,16,G. Poussin,left:calc( 49.95% - 4px);top:1%;z-index:97;
22,515697,15,5,P. Chirivella,left:calc( 36.035869565217% - 4px);top:22.647419354839%;z-index:76;
22,515697,15,23,R. Kolo Muani,left:calc( 49.95% - 4px);top:39.748387096774%;z-index:59;
22,515697,15,26,O. Bukari,left:calc( 87.6% - 4px);top:30.155161290323%;z-index:68;
22,515697,11,30,P. Nardi,left:calc( 50.05% - 4px);top:91.851304347826%;z-index:7;
22,515697,11,14,J. Hergault,left:calc( 12.5% - 4px);top:80.637391304348%;z-index:18;
22,515697,11,15,J. Laporte,left:calc( 62.294565217391% - 4px);top:80.637391304348%;z-index:18;
22,515697,11,17,H. Mendes,left:calc( 87.6% - 4px);top:80.637391304348%;z-index:18;
22,515697,11,3,M. Jenz,left:calc( 36.172826086957% - 4px);top:80.637391304348%;z-index:18;
22,515697,11,23,T. Monconduit,left:calc( 77.804347826087% - 4px);top:66.404347826087%;z-index:32;
22,515697,11,6,L. Abergel,left:calc( 50.05% - 4px);top:68.992173913043%;z-index:30;
22,515697,11,11,Q. Boisgard,left:calc( 22.295652173913% - 4px);top:53.465217391304%;z-index:45;
22,515697,11,28,A. Laurienté,left:calc( 77.804347826087% - 4px);top:53.465217391304%;z-index:45;
22,515697,11,10,E. Le Fée,left:calc( 22.295652173913% - 4px);top:66.404347826087%;z-index:32;
22,515697,11,13,T. Moffi,left:calc( 50.05% - 4px);top:51.308695652174%;z-index:47;
22,515695,46,28,H. Boudaoui,left:calc( 87.6% - 4px);top:66.404347826087%;z-index:32;
22,515695,46,9,K. Dolberg,left:calc( 77.804347826087% - 4px);top:53.465217391304%;z-index:45;
22,515695,46,11,A. Gouiri,left:calc( 22.295652173913% - 4px);top:53.465217391304%;z-index:45;
22,515695,46,22,C. Stengs,left:calc( 12.5% - 4px);top:66.404347826087%;z-index:32;
22,515690,18,4,E. Mexer,left:calc( 62.227173913043% - 4px);top:11.385806451613%;z-index:87;
22,515690,18,12,R. Mangas,left:calc( 87.6% - 4px);top:11.385806451613%;z-index:87;
22,515690,18,22,T. Pembélé,left:calc( 12.3% - 4px);top:11.385806451613%;z-index:87;
22,515690,18,3,A. Medioub,left:calc( 36.035869565217% - 4px);top:11.385806451613%;z-index:87;
22,515690,18,13,Fransergio,left:calc( 62.227173913043% - 4px);top:22.647419354839%;z-index:76;
22,515690,18,19,Y. Adli,left:calc( 49.95% - 4px);top:30.155161290323%;z-index:68;
22,515690,18,27,T. Lacoux,left:calc( 36.035869565217% - 4px);top:22.647419354839%;z-index:76;
22,515690,18,28,R. Oudin,left:calc( 87.6% - 4px);top:30.155161290323%;z-index:68;
22,515690,18,29,A. Elis,left:calc( 12.3% - 4px);top:30.155161290323%;z-index:68;
22,515690,18,18,U. Hwang,left:calc( 49.95% - 4px);top:39.748387096774%;z-index:59;
22,515690,13,1,M. Sels,left:calc( 50.05% - 4px);top:91.851304347826%;z-index:7;
22,515690,13,2,F. Guilbert,left:calc( 87.6% - 4px);top:72.011304347826%;z-index:26;
22,515690,13,5,L. Perrin,left:calc( 77.804347826087% - 4px);top:80.637391304348%;z-index:18;
22,515690,13,22,G. Nyamsi,left:calc( 50.05% - 4px);top:80.637391304348%;z-index:18;
22,515690,13,14,S. Prcic,left:calc( 50.05% - 4px);top:68.992173913043%;z-index:30;
22,515690,13,11,D. Liénard,left:calc( 12.5% - 4px);top:72.011304347826%;z-index:26;
22,515690,13,10,A. Thomasson,left:calc( 77.804347826087% - 4px);top:66.404347826087%;z-index:32;
22,515690,13,6,J. Aholou,left:calc( 22.295652173913% - 4px);top:66.404347826087%;z-index:32;
22,515690,13,27,I. Sissoko,left:calc( 22.295652173913% - 4px);top:80.637391304348%;z-index:18;
22,515690,13,9,K. Gameiro,left:calc( 62.294565217391% - 4px);top:53.465217391304%;z-index:45;
22,515690,13,25,L. Ajorque,left:calc( 36.172826086957% - 4px);top:53.465217391304%;z-index:45;
