,player_id,name,fifa_index,name_compare,sofifa_id,which_fifa
220,52317,deniz naki,7684,deniz naki,189389,15
221,6911,gokhan zan,938,gokhan zan,144280,15
222,210369,ersel asliyuksek,11779,ersel asliyuksek,224728,15
223,30431,nizamettin caliskan,11056,nizamettin caliskan,170796,15
224,123256,liviu antal,8922,liviu ion antal,206274,15
225,80696,jean jacques gosso,4311,jean jacques gosso gosso,189261,15
226,54557,matias fritzler,5751,matias lionel fritzler,172113,15
227,76749,tabare viudez,1395,tabare uruguay viudez mora,189703,15
228,6968,sancak kaplan,5614,sancak kaplan,143942,15
229,282663,idris cengiz,14849,idris cengiz,223706,15
230,51596,ilhan eker,8613,ilhan eker,184667,15
231,293339,muhsin yildirim,15159,muhsin yildirim,224486,15
232,8709,sedat bayrak,8409,sedat bayrak,144202,15
233,94037,ferhat yazgan,10898,ferhat yazgan,223743,15
234,114499,ozgur ileri,13020,ozgur ileri,223047,15
235,7346,ugur boral,4812,ugur boral,143693,15
236,258669,gokhan artun,13668,gokhan artun,225303,15
237,251452,tugay kaya,13573,tugay kaya,223417,15
238,199283,umit karaal,14480,umit karaal,223649,15
239,206197,emre metin,10883,emre metin,223413,15
240,87493,diego novaretti,3712,diego martin novaretti,193510,15
241,28922,taye taiwo,2467,taye ismaila taiwo,164954,15
242,330190,kenan eryuksel,14139,kenan eryuksel,224736,15
243,5854,sebastien frey,681,sebastien frey,1289,15
244,108318,pekin kosnek,14140,pekin kosnek,224753,15
245,144788,luan scapolan,6205,lazaro luan zanini scapolan,210373,15
246,13389,didier zokora,1545,alain didier zokora deguy,45172,15
247,95967,taskin calis,6349,taskin calis,223190,15
248,36813,ibrahima sonko,7335,ibrahima sonko,117385,15
249,257791,cantug temel,14519,cantug temel,224721,15
250,12106,ludovic obraniak,924,ludovic obraniak,138066,15
251,7090,oguz daglaroglu,6453,oguz daglaroglu,143808,15
252,56528,kagan soylemezgiller,9691,kagan soylemezgiller,200827,15
253,29035,ederson,957,ederson honorato campos,156272,15
254,55839,giray kacar,1939,remzi giray kacar,125122,15
255,110697,sezer ozmen,4697,sezer ozmen,223194,15
256,52266,walter gargano,1707,walter alejandro gargano guevara,182859,15
257,22952,caglar birinci,4815,caglar birinci,143869,15
258,10118,aykut ercetin,7376,aykut ercetin,143740,15
259,135082,rogelio funes mori,3738,rogelio gabriel funes mori,198140,15
260,204143,viktor ahlmann,14506,viktor ahlmann,224312,15
261,83234,cihan ozkara,7792,cihan ozkara,197958,15
262,78236,musa yilmazer,6632,musa sinan yilmazer,179914,15
263,5495,john utaka,1183,john chukwudi utaka,52826,15
264,15765,tim janssen,5808,tim janssen,178256,15
265,102097,gudon baldvinsson,10396,gudon baldvinsson,191097,15
266,98502,liban abdi,2597,liban ali abdi,188375,15
267,22896,kasper lorentzen,4058,kasper wellemberg lorentzen,152048,15
268,89205,mark gundelach,13208,mark gundelach,190945,15
269,109012,ivan runje,10612,ivan runje,208099,15
270,252636,musefiu ashiru,15539,musefiu olasunkanmi ashiru,219408,15
271,33491,kevin foley,6434,kevin foley,139343,15
272,215180,lasse lindbjerg,15643,lasse lindbjerg,224966,15
273,24404,johan sellberg wiland,3369,johan wiland,32740,15
274,104987,hakon skogseid,9398,hakon skogseid,162397,15
275,24113,espen ruud,4056,espen ruud,148696,15
276,44722,emil ousager,13162,emil ousager,172574,15
277,15961,rurik gislason,3555,rurik gislason,173667,15
278,282227,marc wehner,15308,marc wehner,219456,15
279,20844,henrik hansen,7309,henrik hansen,52278,15
280,31821,ayoub sorensen,8811,ayoub sorensen,199788,15
281,4403,daniel jensen,4051,daniel monberg jensen,146769,15
