,player_id,name,clubs,fifa_index,name_compare,fifa_clubs,sofifa_id
6556,249471,saul garcia,"['deportivo-la-coruna', 'fc-girona', 'deportivo-alaves']",3741,saul garcia cabrero,Deportivo Alaves,219709
6557,177046,ruben duarte,"['espanyol-barcelona', 'deportivo-alaves']",1528,ruben duarte sanchez,Deportivo Alaves,226637
6558,127108,florian lejeune,"['sd-eibar', 'newcastle-united', 'deportivo-alaves']",851,florian lejeune,Newcastle United,197948
6559,67080,victor laguardia,['deportivo-alaves'],626,victor laguardia cisneros,Deportivo Alaves,194222
6560,172015,fernando pacheco,"['real-madrid', 'deportivo-alaves']",299,fernando pacheco flores,Deportivo Alaves,209960
6561,202788,robin propper,"['de-graafschap-doetinchem', 'heracles-almelo', 'fc-twente-enschede']",8049,robin propper,Heracles Almelo,208462
6562,154819,kwasi wriedt,"['borussia-monchengladbach', 'rasenballsport-leipzig', 'fc-bayern-munchen', 'willem-ii-tilburg']",6103,kwasi okyere wriedt,FC Bayern Munchen II,213949
6563,439914,john yeboah,"['vfl-wolfsburg', 'hannover-96', 'rasenballsport-leipzig', 'vvv-venlo', 'willem-ii-tilburg']",12985,john yeboah zamora,VfL Wolfsburg,242755
6564,288067,mats kohlert,['willem-ii-tilburg'],11751,mats kohlert,Willem II,233178
6565,251345,gorkem saglam,['willem-ii-tilburg'],11660,gorkem saglam,VfL Bochum 1848,229176
6566,367981,max svensson,['willem-ii-tilburg'],10692,max johan erik svensson,Helsingborgs IF,235197
6567,205276,pol llonch,['willem-ii-tilburg'],5364,pol llonch puyalto,Willem II,225507
6568,370042,driess saddiki,['willem-ii-tilburg'],10919,driess saddiki,Willem II,243733
6569,393241,godfried roemeratoe,"['fc-twente-enschede', 'willem-ii-tilburg']",13724,godfried roemeratoe,FC Twente,239558
6570,142208,emil bergstrom,"['rubin-kazan', 'fc-utrecht', 'willem-ii-tilburg']",5060,emil evert bergstrom,FC Utrecht,202060
6571,239044,ulrik jenssen,"['fc-nordsjaelland', 'willem-ii-tilburg']",9208,ulrik yttergard jenssen,FC Nordsjaelland,212040
6572,477476,connor van den berg,['willem-ii-tilburg'],17238,connor van den berg,Willem II,252342
6573,242497,pere pons,"['fc-girona', 'deportivo-alaves']",1470,pere pons riera,Deportivo Alaves,211706
6574,81775,robbin ruiter,"['fc-utrecht', 'psv-eindhoven', 'willem-ii-tilburg']",8935,robbin ruiter,PSV,189936
6575,277242,jorn brondeel,"['fc-twente-enschede', 'willem-ii-tilburg']",9330,jorn brondeel,FC Twente,220593
6576,342152,roberts uldrikis,['sc-cambuur-leeuwarden'],13888,roberts uldrikis,FC Sion,245212
6577,258511,michael breij,"['fc-utrecht', 'fc-groningen', 'psv-eindhoven', 'sc-cambuur-leeuwarden']",12006,michael breij,FC Groningen,242686
6578,288449,dango warmerdam,"['pec-zwolle', 'fc-groningen', 'fc-utrecht']",8495,dango warmerdam,FC Groningen,234195
6579,196829,timon wellenreuther,"['fc-schalke-04', 'willem-ii-tilburg', 'rsc-anderlecht']",6248,timon janis wellenreuther,Willem II,223686
6580,326030,che nunnely,['willem-ii-tilburg'],9617,che nunnely,Willem II,234202
6581,88074,freek heerkens,['willem-ii-tilburg'],9283,freek heerkens,Willem II,215527
6582,365172,patson daka,['leicester-city'],4720,patson daka,FC Red Bull Salzburg,241202
6583,246968,ayoze perez,"['newcastle-united', 'leicester-city']",933,ayoze perez gutierrez,Leicester City,215590
6584,406040,ademola lookman,"['fc-everton', 'rasenballsport-leipzig', 'fc-fulham', 'leicester-city']",1557,ademola lookman,RB Leipzig,230899
6585,294057,james maddison,"['aberdeen-fc', 'norwich-city', 'leicester-city']",698,james maddison,Leicester City,220697
6586,398065,harvey barnes,"['fc-porto', 'leicester-city', 'tottenham-hotspur', 'west-bromwich-albion']",2073,harvey lewis barnes,Leicester City,234742
6587,298197,antonio sivera,['deportivo-alaves'],3107,antonio sivera salva,Deportivo Alaves,222464
6588,341501,hamza choudhury,['leicester-city'],2524,hamza choudhury,Leicester City,228332
6589,249565,youri tielemans,"['rsc-anderlecht', 'as-monaco', 'leicester-city']",531,youri tielemans,Leicester City,216393
6590,111051,nampalys mendy,"['ogc-nizza', 'leicester-city']",1794,nampalys mendy,Leicester City,198861
6591,344605,boubakary soumare,"['losc-lille', 'leicester-city']",3999,boubakary soumare,LOSC Lille,239817
6592,274839,wilfred ndidi,"['krc-genk', 'leicester-city']",401,onyinye wilfred ndidi,Leicester City,226790
6593,262226,timothy castagne,"['krc-genk', 'atalanta-bergamo', 'leicester-city']",1510,timothy castagne,Atalanta,222501
6594,215876,ricardo pereira,"['fc-porto', 'ogc-nizza', 'leicester-city']",301,ricardo domingos barbosa pereira,Leicester City,210243
6595,40611,ryan bertrand,"['fc-southampton', 'leicester-city']",771,ryan bertrand,Southampton,169705
6596,214056,daniel amartey,"['fc-kopenhagen', 'leicester-city']",3022,daniel amartey,Leicester City,212883
6597,391780,derrick kohn,['willem-ii-tilburg'],15370,derrick arthur kohn,FC Bayern Munchen II,250941
6598,99331,jannik vestergaard,"['tsg-1899-hoffenheim', 'sv-werder-bremen', 'borussia-monchengladbach', 'fc-southampton', 'leicester-city']",876,jannik vestergaard,Southampton,202849
6599,475411,wesley fofana,"['as-saint-etienne', 'sco-angers', 'leicester-city']",12169,wesley fofana,AS Saint-Etienne,248695
6600,320141,caglar soyuncu,"['sc-freiburg', 'leicester-city']",2582,caglar soyuncu,Leicester City,232119
6601,2857,eldin jakupovic,"['hull-city', 'leicester-city']",6647,eldin jakupovic,Leicester City,52326
6602,16911,kasper schmeichel,['leicester-city'],164,kasper peter schmeichel,Leicester City,163587
6603,23553,lennart thy,"['sv-werder-bremen', 'vvv-venlo', 'buyuksehir-belediye-erzurumspor', 'pec-zwolle', 'sparta-rotterdam']",4203,lennart thy,PEC Zwolle,192561
