,0
1315,5035
1316,5036
1317,5042
1318,5046
1319,5047
1320,5051
1321,5053
1322,5057
1323,5069
1324,5071
1325,5073
1326,5077
1327,5078
1328,5079
1329,5081
1330,5084
1331,5087
1332,5088
1333,5091
1334,5092
1335,5097
1336,5098
1337,5099
1338,5100
1339,5102
1340,5108
1341,5109
1342,5118
1343,5126
1344,5133
1345,5134
1346,5136
1347,5138
1348,5140
1349,5142
1350,5145
1351,5149
1352,5150
1353,5151
1354,5152
1355,5153
1356,5154
1357,5155
1358,5158
1359,5176
1360,5186
1361,5187
1362,5190
1363,5191
1364,5192
1365,5197
1366,5198
1367,5200
1368,5204
1369,5205
1370,5206
1371,5207
1372,5209
1373,5211
1374,5213
1375,5214
1376,5215
1377,5216
1378,5218
1379,5229
1380,5235
1381,5238
1382,5246
1383,5247
1384,5257
1385,5260
1386,5266
1387,5268
1388,5274
1389,5280
1390,5292
1391,5296
1392,5300
1393,5302
1394,5304
1395,5305
1396,5308
1397,5309
1398,5311
1399,5313
1400,5322
1401,5324
1402,5334
1403,5336
1404,5350
1405,5380
1406,5381
1407,5382
1408,5386
1409,5389
1410,5390
1411,5391
1412,5398
1413,5407
1414,5408
1415,5413
1416,5415
1417,5417
1418,5419
1419,5423
1420,5424
1421,5428
1422,5432
1423,5436
1424,5437
1425,5439
1426,5440
1427,5442
1428,5447
1429,5449
1430,5450
1431,5456
1432,5457
1433,5459
1434,5462
1435,5464
1436,5472
1437,5474
1438,5475
1439,5477
1440,5478
1441,5480
1442,5481
1443,5482
1444,5484
1445,5485
1446,5487
1447,5489
1448,5512
1449,5517
1450,5520
1451,5521
1452,5528
1453,5540
1454,5542
1455,5549
1456,5553
1457,5555
1458,5570
1459,5576
1460,5577
1461,5584
1462,5586
1463,5587
1464,5589
1465,5592
1466,5596
1467,5602
1468,5605
1469,5608
1470,5609
1471,5614
1472,5621
1473,5622
1474,5627
1475,5636
1476,5641
1477,5647
1478,5650
1479,5659
1480,5661
1481,5662
1482,5673
1483,5680
1484,5682
1485,5686
1486,5702
1487,5706
1488,5707
1489,5715
1490,5733
1491,5735
1492,5737
1493,5765
1494,5766
1495,5779
1496,5785
1497,5790
1498,5791
1499,5792
1500,5795
1501,5799
1502,5801
1503,5803
1504,5810
1505,5811
1506,5824
1507,5827
1508,5831
1509,5834
1510,5836
1511,5845
1512,5847
1513,5849
1514,5856
1515,5866
1516,5883
1517,5888
1518,5896
1519,5903
1520,5906
1521,5907
1522,5916
1523,5918
1524,5919
1525,5922
1526,5926
1527,5929
1528,5942
1529,5947
1530,5949
1531,5951
1532,5952
1533,5957
1534,5958
1535,5974
1536,5975
1537,5976
