Places,latitude,longitude,jour,date,Tmin,Tmax,Humidity,Weather,clouds,WeatherCode,icone
Montauban,44.0175835,1.3549991,0.0,2022-02-10 12:00:00,4.3799999999999955,14.970000000000027,58.0,Clear (clear sky),0.0,800.0,http://openweathermap.org/img/wn/01d.png
Biarritz,43.47114375,-1.552726590666314,0.0,2022-02-10 12:00:00,8.550000000000011,14.960000000000036,58.0,Clear (clear sky),0.0,800.0,http://openweathermap.org/img/wn/01d.png
Bayonne,43.49333789999999,-1.475099,0.0,2022-02-10 12:00:00,8.220000000000027,15.53000000000003,58.0,Clear (clear sky),0.0,800.0,http://openweathermap.org/img/wn/01d.png
La Rochelle,46.1591126,-1.1520434,0.0,2022-02-10 12:00:00,6.890000000000043,10.560000000000002,100.0,Clouds (overcast clouds),100.0,804.0,http://openweathermap.org/img/wn/04d.png
Mont Saint Michel,48.6355232,-1.5102571000000002,1.0,2022-02-11 12:00:00,2.430000000000007,8.910000000000025,63.0,Clear (clear sky),5.0,800.0,http://openweathermap.org/img/wn/01d.png
St Malo,48.649518,-2.0260409,1.0,2022-02-11 12:00:00,5.730000000000018,8.410000000000025,63.0,Clear (clear sky),6.0,800.0,http://openweathermap.org/img/wn/01d.png
Bayeux,49.2764624,-0.7024738,1.0,2022-02-11 12:00:00,2.9500000000000455,8.180000000000007,66.0,Clouds (few clouds),13.0,801.0,http://openweathermap.org/img/wn/02d.png
Le Havre,49.4938975,0.1079732,1.0,2022-02-11 12:00:00,5.480000000000018,7.660000000000025,64.0,Clear (clear sky),9.0,800.0,http://openweathermap.org/img/wn/01d.png
Rouen,49.4404591,1.0939658,1.0,2022-02-11 12:00:00,1.4800000000000182,7.970000000000027,65.0,Clear (clear sky),6.0,800.0,http://openweathermap.org/img/wn/01d.png
Paris,48.8566969,2.3514616000000004,1.0,2022-02-11 12:00:00,2.9399999999999977,7.910000000000025,57.0,Clear (clear sky),6.0,800.0,http://openweathermap.org/img/wn/01d.png
Amiens,49.8941708,2.2956951,1.0,2022-02-11 12:00:00,1.7200000000000273,6.980000000000018,61.0,Clouds (few clouds),22.0,801.0,http://openweathermap.org/img/wn/02d.png
Lille,50.6365654,3.0635282000000004,1.0,2022-02-11 12:00:00,2.2700000000000387,6.9500000000000455,54.0,Clouds (scattered clouds),40.0,802.0,http://openweathermap.org/img/wn/03d.png
Strasbourg,48.584614,7.750712700000001,1.0,2022-02-11 11:00:00,1.910000000000025,7.420000000000016,67.0,Rain (light rain),78.0,500.0,http://openweathermap.org/img/wn/10d.png
Chateau du Haut Koenigsbourg,48.249489800000006,7.34429620253195,1.0,2022-02-11 11:00:00,-2.329999999999984,4.53000000000003,70.0,Rain (moderate rain),78.0,501.0,http://openweathermap.org/img/wn/10d.png
Colmar,48.07775170000001,7.3579641,1.0,2022-02-11 11:00:00,1.0500000000000114,7.920000000000016,60.0,Rain (moderate rain),71.0,501.0,http://openweathermap.org/img/wn/10d.png
